"file","category","status","disposition","finding_ids","reviewer","evidence"
".env.example","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
".gitignore","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
".npmrc","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"AGENTS.md","documentation","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/.env.example","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/fixtures/aisstream-replay.jsonl","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/package.json","configuration","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-message-normaliser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-replay-stream-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-stream-live-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-stream-status-tracker.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/aisstream-message-parser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/mock-ais-stream-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analysis/area-analysis.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analysis/area-result.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analysis/landmark-analysis.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analysis/mock-analysis-agent-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analysis/openai-analysis-agent-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analytics/aircraft-analytics-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/analytics/vessel-analytics-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/app.ts","api-source","reviewed","fixed","SF-SEC-001","orchestrator+sast+dast","FIRMS provider-key spend fixed with token guard, startup guard, web token header, docs, and regression tests."
"apps/api/src/config/environment-parsers.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/config/environment.ts","api-source","reviewed","fixed","SF-SEC-001","orchestrator+sast+dast","FIRMS provider-key spend fixed with token guard, startup guard, web token header, docs, and regression tests."
"apps/api/src/config/logger.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/acled-normaliser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/airport-context-limits.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/airport-context-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/airport-context-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/conflict-context-limits.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/conflict-context-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/conflict-context-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/fire-context-limits.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/fire-context-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/firms-normaliser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/firms-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/marine-weather-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/marine-weather-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/ourairports-normaliser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/satellite-context-limits.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/satellite-context-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/context/satellite-context-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/domain/aircraft-repository.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/domain/interfaces.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/domain/vessel-repository.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/flights/adsb-exchange-flight-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/flights/flight-normalisation.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/flights/flight-stream-status-tracker.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/flights/mock-flight-tracking-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/flights/open-sky-flight-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/aircraft-intel-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/mock-aircraft-intel-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/mock-vessel-intel-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/openai-aircraft-intel-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/openai-vessel-intel-service.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/intel/vessel-intel-response.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/realtime/realtime-broadcaster.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/aircraft.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/airport-context.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/analysis.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/auth.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/conflict-context.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/fire-context.ts","api-source","reviewed","fixed","SF-SEC-001","orchestrator+sast+dast","FIRMS provider-key spend fixed with token guard, startup guard, web token header, docs, and regression tests."
"apps/api/src/routes/flight-status.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/health.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/marine-weather.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/satellite-context.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/stream-status.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/routes/vessels.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/server.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ws/aircraft-stream.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ws/origin.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ws/vessel-stream.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/aircraft-domain.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/aircraft-intel-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/aircraft-routes.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/airport-context-route.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/airport-context-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/ais-live-stream-client.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/aisstream-parser.test.ts","test-code","reviewed","fixed","SF-SEC-001","orchestrator+sast+dast","FIRMS provider-key spend fixed with token guard, startup guard, web token header, docs, and regression tests."
"apps/api/tests/analysis-area-and-mock-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/analysis-route.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/analysis-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/app.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/config-and-context-limits.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/conflict-context-route.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/conflict-context-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/context-response-builders.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/context-response-extra.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/fire-context-route.test.ts","test-code","reviewed","fixed","SF-SEC-001","orchestrator+sast+dast","FIRMS provider-key spend fixed with token guard, startup guard, web token header, docs, and regression tests."
"apps/api/tests/fire-context-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/flight-provider-clients.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/intel-response-builders.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/marine-weather-route.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/marine-weather-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/mock-stream.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/provider-normalisers.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/route-contracts.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/satellite-context-route.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/satellite-context-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/stream-infrastructure.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/vessel-intel-service.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/vessel-repository.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tests/vessel-routes.test.ts","test-code","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/tsconfig.json","configuration","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/vitest.config.ts","configuration","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/web/.env.example","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/web/index.html","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/web/package.json","configuration","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
